n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,3.94062,1.60285,2.4,3.5,3.85,4.1,15.5
20,18.6094,2.24568,13.5,17.375,18.55,19.525,24.7
30,55.2484,8.65037,44.5,49.2,50,62.025,81.9
40,120.794,9.20457,107.6,115.475,119.3,122,159.1
50,213.531,19.818,196.8,205.7,208.2,210.8,299.1
60,378.972,17.3941,359.9,369.775,375.05,380.15,470.2
70,652.672,66.4346,603.2,614.8,627.1,662.85,896.2
80,911.755,77.0717,853.5,873.775,881.35,908.875,1249.6
90,1262.99,103.543,1197,1217.77,1228.25,1269.72,1771.7
100,1842.69,141.51,1774,1786.02,1801.55,1825.83,2476.8
110,2373.77,253.296,2102,2163.45,2238.9,2611.75,3087.9
120,2952.84,254.557,2730.3,2822.82,2855.5,3009.7,4196.3
130,3787.75,308.38,3442.7,3508.07,3745.25,3937.45,4635.8
140,4900.97,379.351,4437.5,4481.72,4925.15,5211.98,5707.2
150,6075.84,450.063,5539.8,5629.23,6042.25,6408.4,6963.8
160,7195.82,525.962,6611.5,6801.38,7152.45,7392.18,10051.3
170,8732.28,666.236,8039.5,8167.73,8562.75,9022.43,11116.1
180,9616.22,582.022,8957.9,9101.55,9509.15,9991.85,11148.8
190,12538.1,747.405,11899.7,12099.7,12344.2,12629.2,15698.2
200,13015.3,439.629,12381.4,12661,12944.6,13326.8,14469.6
210,15453.1,906.733,14644.6,14858.7,15290.3,15568.8,18688.3
220,17724.4,680.234,16901,17342.8,17613,18003.7,21513.3
230,20067.7,1436.21,18663.9,19445.5,19756.2,20080.1,27330.2
240,23069.1,965.306,21858,22440.6,22958.8,23325.4,27810.7
250,26302.9,1171.35,25187.5,25720.9,26124.8,26491.4,32001.7
260,29447.2,1284.11,28086.9,28519.3,29044.4,29969.7,34010.8
270,33499.7,1646.67,31924.1,32682.5,33043.9,33640,41583.9
280,38448.2,1040.2,37265.6,37817,38269.2,38644.8,42550.8
290,43290.7,2002.22,41202,42193.4,42788.9,43744,53283.7
300,45911,1359.64,44423.9,45052.2,45633.4,46121.1,50567.8
