n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,3.65938,0.528454,2.8,3.275,3.6,4.025,4.9
30,42.2375,6.05948,35.9,38.4,39.55,47.3,54.5
50,144.903,16.9844,129.2,136.65,140.25,143.475,200.2
70,345.047,25.2801,326.5,332.475,337.4,341.875,422.3
90,748.153,54.5659,695.4,723.45,728.35,740.95,908.4
110,1277.4,112.261,1168,1203.55,1211.65,1312.95,1542.6
130,2041.93,155.887,1909.3,1930.17,1969.1,2132.15,2413.1
150,3027.72,405.112,2756.2,2806.33,2901.05,2981.15,4212.9
170,4339.15,377.531,3857.1,3930.07,4350.85,4643.97,5041.2
190,5774.77,413.246,5161.1,5316.62,5830.45,6044.27,6587.4
