n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,2.79687,0.597027,1.9,2.4,2.7,3.125,4.6
30,100.834,13.07,89.2,93,96,99.7,134.5
50,698.406,64.7226,643.5,661.275,670.35,693.3,864.3
70,2211.97,216.868,2006.8,2044.38,2156.15,2292.73,2987.1
90,5873.74,406.201,5435,5530.48,5783.7,6138.2,6945.9
110,12698.4,757.393,12037.3,12200,12511.1,13009.1,16029
130,27507.5,1641.2,26114.1,26693.5,27093.9,27370.8,32839.4
150,43492.6,1096.95,42438.4,42779.2,43214.8,43841.4,48565.8
170,75429.9,1703.4,73440.1,74339.9,75121.3,75962.6,80956.3
190,112994,4249.83,108397,110396,111240,114147,130208
