n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,3.14063,0.539928,2.5,2.7,3.1,3.4,4.7
30,33.3031,3.99318,27,32,32.7,33.45,48.2
50,105.169,15.0985,91.1,97.125,101.9,104.975,155.6
70,240.356,21.8387,222.8,229.6,231.05,236.65,293.2
90,531.213,81.4979,474.5,490.475,494.85,532.95,820.6
110,894.197,68.9812,846.3,857.525,867.7,890.4,1069.8
130,1434.32,145.801,1326.2,1344.85,1359.3,1458.95,1841.7
150,2053.33,157.26,1909,1941.07,1994.05,2090.95,2419.5
170,2963.43,281.79,2673,2717.02,2898.95,3135.9,3824.7
190,4384.76,503.779,3826.1,3991.78,4291.05,4563.85,5974.4
